data,produto,valor_total_brl
2025-03-01,GC,2423
2025-03-03,GC,2585
2025-03-04,GC,2492
2025-03-05,GC,2654
2025-03-06,GC,2562
2025-03-07,GC,2469
2025-03-08,GC,2631
2025-03-10,GC,2538
2025-03-11,GC,2446
2025-03-12,GC,2608
2025-03-13,GC,2515
2025-03-14,GC,2423
2025-03-15,GC,2585
2025-03-17,GC,2492
2025-03-18,GC,2654
2025-03-19,GC,2562
2025-03-20,GC,2469
2025-03-21,GC,2631
2025-03-22,GC,2538
2025-03-24,GC,2446
2025-03-25,GC,2608
2025-03-26,GC,2515
2025-03-27,GC,2423
2025-03-28,GC,2585
2025-03-29,GC,2492
2025-03-31,GC,2654
2025-03-01,Etanol Comum,1673
2025-03-03,Etanol Comum,1808
2025-03-04,Etanol Comum,1731
2025-03-05,Etanol Comum,1654
2025-03-06,Etanol Comum,1788
2025-03-07,Etanol Comum,1712
2025-03-08,Etanol Comum,1635
2025-03-10,Etanol Comum,1769
2025-03-11,Etanol Comum,1692
2025-03-12,Etanol Comum,1827
2025-03-13,Etanol Comum,1750
2025-03-14,Etanol Comum,1673
2025-03-15,Etanol Comum,1808
2025-03-17,Etanol Comum,1731
2025-03-18,Etanol Comum,1654
2025-03-19,Etanol Comum,1788
2025-03-20,Etanol Comum,1712
2025-03-21,Etanol Comum,1635
2025-03-22,Etanol Comum,1769
2025-03-24,Etanol Comum,1692
2025-03-25,Etanol Comum,1827
2025-03-26,Etanol Comum,1750
2025-03-27,Etanol Comum,1673
2025-03-28,Etanol Comum,1808
2025-03-29,Etanol Comum,1731
2025-03-31,Etanol Comum,1710
2025-03-01,DSL S10,1831
2025-03-03,DSL S10,1769
2025-03-04,DSL S10,1877
2025-03-05,DSL S10,1815
2025-03-06,DSL S10,1923
2025-03-07,DSL S10,1862
2025-03-08,DSL S10,1800
2025-03-10,DSL S10,1908
2025-03-11,DSL S10,1846
2025-03-12,DSL S10,1785
2025-03-13,DSL S10,1892
2025-03-14,DSL S10,1831
2025-03-15,DSL S10,1769
2025-03-17,DSL S10,1877
2025-03-18,DSL S10,1815
2025-03-19,DSL S10,1923
2025-03-20,DSL S10,1862
2025-03-21,DSL S10,1800
2025-03-22,DSL S10,1908
2025-03-24,DSL S10,1846
2025-03-25,DSL S10,1785
2025-03-26,DSL S10,1892
2025-03-27,DSL S10,1831
2025-03-28,DSL S10,1769
2025-03-29,DSL S10,1877
2025-03-31,DSL S10,1907
