data,produto,valor_total_brl
2025-03-01,Gas. Comum,3365
2025-03-03,Gas. Comum,3608
2025-03-04,Gas. Comum,3469
2025-03-05,Gas. Comum,3712
2025-03-06,Gas. Comum,3573
2025-03-07,Gas. Comum,3435
2025-03-08,Gas. Comum,3677
2025-03-10,Gas. Comum,3538
2025-03-11,Gas. Comum,3400
2025-03-12,Gas. Comum,3642
2025-03-13,Gas. Comum,3504
2025-03-14,Gas. Comum,3365
2025-03-15,Gas. Comum,3608
2025-03-17,Gas. Comum,3469
2025-03-18,Gas. Comum,3712
2025-03-19,Gas. Comum,3573
2025-03-20,Gas. Comum,3435
2025-03-21,Gas. Comum,3677
2025-03-22,Gas. Comum,3538
2025-03-24,Gas. Comum,3400
2025-03-25,Gas. Comum,3642
2025-03-26,Gas. Comum,3504
2025-03-27,Gas. Comum,3365
2025-03-28,Gas. Comum,3608
2025-03-29,Gas. Comum,3469
2025-03-31,Gas. Comum,3712
2025-03-01,Etanol Hidratado,2150
2025-03-03,Etanol Hidratado,2338
2025-03-04,Etanol Hidratado,2231
2025-03-05,Etanol Hidratado,2123
2025-03-06,Etanol Hidratado,2312
2025-03-07,Etanol Hidratado,2204
2025-03-08,Etanol Hidratado,2096
2025-03-10,Etanol Hidratado,2285
2025-03-11,Etanol Hidratado,2177
2025-03-12,Etanol Hidratado,2365
2025-03-13,Etanol Hidratado,2258
2025-03-14,Etanol Hidratado,2150
2025-03-15,Etanol Hidratado,2338
2025-03-17,Etanol Hidratado,2231
2025-03-18,Etanol Hidratado,2123
2025-03-19,Etanol Hidratado,2312
2025-03-20,Etanol Hidratado,2204
2025-03-21,Etanol Hidratado,2096
2025-03-22,Etanol Hidratado,2285
2025-03-24,Etanol Hidratado,2177
2025-03-25,Etanol Hidratado,2365
2025-03-26,Etanol Hidratado,2258
2025-03-27,Etanol Hidratado,2150
2025-03-28,Etanol Hidratado,2338
2025-03-29,Etanol Hidratado,2231
2025-03-31,Etanol Hidratado,2203
2025-03-01,Diesel S-10,2058
2025-03-03,Diesel S-10,1981
2025-03-04,Diesel S-10,2115
2025-03-05,Diesel S-10,2038
2025-03-06,Diesel S-10,2173
2025-03-07,Diesel S-10,2096
2025-03-08,Diesel S-10,2019
2025-03-10,Diesel S-10,2154
2025-03-11,Diesel S-10,2077
2025-03-12,Diesel S-10,2000
2025-03-13,Diesel S-10,2135
2025-03-14,Diesel S-10,2058
2025-03-15,Diesel S-10,1981
2025-03-17,Diesel S-10,2115
2025-03-18,Diesel S-10,2038
2025-03-19,Diesel S-10,2173
2025-03-20,Diesel S-10,2096
2025-03-21,Diesel S-10,2019
2025-03-22,Diesel S-10,2154
2025-03-24,Diesel S-10,2077
2025-03-25,Diesel S-10,2000
2025-03-26,Diesel S-10,2135
2025-03-27,Diesel S-10,2058
2025-03-28,Diesel S-10,1981
2025-03-29,Diesel S-10,2115
2025-03-31,Diesel S-10,2154
